eNodeB Name,Cell Name,LocalCell Id,selected_kpi_name,target_kpi_column,kpi_category,selected_threshold_%,recent_period,baseline_period,recent_avg_kpi,baseline_avg_kpi,kpi_degradation_ratio_%,number_of_detected_causes,all_detected_causes,main_root_cause_category,main_cause_counter_or_kpi,main_degradation_reason,main_recommended_action,all_recommended_actions
LCAIN10581,LCAIN10581-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,0.40376666666666666,7.371333333333333,95.98282275984322,5,"L.CA.UE.Avg: recent=0.07, baseline=0.51, change=85.97% | L.CA.DLSCell.Add.Att: recent=218.33, baseline=1503.00, change=85.47% | L.CA.DLSCell.Act.Att: recent=225.33, baseline=1117.00, change=79.83% | DL Traffic QCI-9: recent=0.40, baseline=0.80, change=50.29% | (HU)CEU User Downlink Average Througput: recent=11.71, baseline=15.39, change=23.92%",CA User Drop,L.CA.UE.Avg,Average CA users decreased.,"Check CA activation, SCell availability, and CA parameters.","Check CA activation, SCell availability, and CA parameters. | Check CA configuration and inter-frequency measurements. | Check SCell configuration, CA licensing, and secondary carriers. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CEU parameters, ICIC, and edge coverage."
LCAIN10130_Site_144,LCAIN10130-1,1,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,6.264466666666666,78.11016666666667,95.04733331920548,10,"DL RBLER: recent=0.26, baseline=0.03, change=744.53% | L.Traffic.User.BorderUE.Avg: recent=0.03, baseline=0.02, change=120.22% | (HU) Cell DL Average Throughput (Mbps): recent=12.54, baseline=26.98, change=53.54% | DL_CCE_AllocFail (%): recent=0.07, baseline=0.05, change=37.56% | L.CA.DLSCell.Act.Att: recent=7224.67, baseline=27891.33, change=74.10%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check coverage overlap, handover zones, and cell dominance. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check SCell configuration, CA licensing, and secondary carriers."
LCAIN10119,LCAIN10119-6,6,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,6.863833333333333,51.69403333333333,87.83032002190804,5,"DL RBLER: recent=0.27, baseline=0.16, change=65.49% | DL Traffic QCI-9: recent=5.46, baseline=23.66, change=76.91% | L.CA.UE.Avg: recent=3.96, baseline=6.20, change=36.14% | TA Weighted Avg (meter): recent=472.10, baseline=379.98, change=24.24% | (HU) PDSCH MCS: recent=10.64, baseline=13.66, change=22.07%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, and CA parameters. | Check coverage shift, antenna tilt, and traffic migration. | Check CQI, SINR, interference, antenna direction, and coverage."
LCAIN12838,LCAIN12838-1,1,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,2.2516,13.365133333333333,86.75611560339769,7,"DL RBLER: recent=0.37, baseline=0.16, change=130.30% | L.CA.UE.Avg: recent=0.11, baseline=0.29, change=60.75% | (HU) Cell DL Average Throughput (Mbps): recent=11.75, baseline=19.73, change=40.44% | L.CA.DLSCell.Act.Att: recent=580.67, baseline=1223.67, change=52.55% | L.CA.DLSCell.Add.Att: recent=506.67, baseline=888.00, change=42.94%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CA activation, SCell availability, and CA parameters. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check SCell configuration, CA licensing, and secondary carriers. | Check CA configuration and inter-frequency measurements."
LCAIN10119,LCAIN10119-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,2.887166666666667,15.902933333333332,84.42892555740958,5,"6.6-14 km: recent=1.33, baseline=0.33, change=300.00% | DL RBLER: recent=0.37, baseline=0.23, change=64.73% | DL Traffic QCI-9: recent=2.85, baseline=7.81, change=63.48% | L.CA.UE.Avg: recent=0.68, baseline=1.59, change=57.02% | L.CA.DLSCell.Act.Att: recent=3028.67, baseline=4249.67, change=28.73%",Extended Coverage Issue,6.6-14 km,High TA bin indicates users at cell edge or beyond planned coverage.,"Check coverage extension, overshooting, pilot pollution, and cell size.","Check coverage extension, overshooting, pilot pollution, and cell size. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA activation, SCell availability, and CA parameters. | Check SCell configuration, CA licensing, and secondary carriers."
LCAIN10586,LCAIN10586-3,3,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,5.607333333333334,16.6815,75.7780323616016,2,"DL RBLER: recent=1.07, baseline=0.63, change=70.49% | (HU) PDSCH MCS: recent=11.44, baseline=15.62, change=26.72%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CQI, SINR, interference, antenna direction, and coverage."
LCAIN10130_Site_144,LCAIN10130-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,9.091466666666667,32.7656,74.99624342599549,3,"DL RBLER: recent=0.40, baseline=0.22, change=83.93% | (HU) Cell DL Average Throughput (Mbps): recent=14.59, baseline=22.97, change=36.49% | (HU) User DL Average Throughput (Mbps): recent=19.60, baseline=24.90, change=21.31%",DL Radio Failure,DL RBLER,DL RBLER increased.,"Check DL interference, poor coverage, CQI, MCS, and radio conditions.","Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check DL scheduler, bandwidth, CA activation, load balancing, and congestion. | Check radio quality, PRB load, scheduler behavior, and user distribution."
LCAIN10132,LCAIN10132-7,7,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,1.8641666666666665,6.6185,71.85366624525918,10,"L.Traffic.User.BorderUE.Avg: recent=0.74, baseline=0.29, change=158.35% | DL RBLER: recent=0.25, baseline=0.17, change=43.16% | DL Traffic QCI-9: recent=1.11, baseline=6.01, change=81.55% | (HU) DL IBLER(%): recent=7.29, baseline=5.22, change=39.80% | (HU) User DL Average Throughput (Mbps): recent=20.01, baseline=32.79, change=38.99%",Border UE Increase,L.Traffic.User.BorderUE.Avg,Border/cell edge users increased.,"Check coverage overlap, handover zones, and cell dominance.","Check coverage overlap, handover zones, and cell dominance. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check interference, CQI, MCS, antenna tilt, and DL power. | Check radio quality, PRB load, scheduler behavior, and user distribution."
LCAIN12868,LCAIN12868-2,2,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,12.9813,36.918499999999995,71.44868897190571,9,"L.CA.DLSCell.Act.Att: recent=3378.00, baseline=30536.33, change=88.94% | DL Traffic QCI-9: recent=2.09, baseline=13.14, change=84.09% | L.CA.DLSCell.Add.Att: recent=2642.00, baseline=11770.67, change=77.55% | L.CA.UE.Avg: recent=1.25, baseline=5.55, change=77.39% | MAC CA Traffic Ratio: recent=16.82, baseline=36.63, change=54.07%",SCell Activation Issue,L.CA.DLSCell.Act.Att,SCell activation attempts decreased.,"Check SCell configuration, CA licensing, and secondary carriers.","Check SCell configuration, CA licensing, and secondary carriers. | Check packet data service, APN/data service, user demand, and internet traffic trend. | Check CA configuration and inter-frequency measurements. | Check CA activation, SCell availability, and CA parameters. | Check CA activation, SCell availability, CA bands, and CA parameters."
LCAIN10369,LCAIN10369-5,5,DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,2026-05-16 to 2026-05-18,2026-05-09 to 2026-05-11,1.1812666666666665,5.174099999999999,69.14765327287637,11,"(HU) DL IBLER(%): recent=9.95, baseline=3.55, change=179.98% | DL_CCE_AllocFail (%): recent=0.54, baseline=0.23, change=133.80% | DL RBLER: recent=0.37, baseline=0.21, change=76.85% | (HU)CEU User Downlink Average Througput: recent=4.84, baseline=19.35, change=74.97% | (HU)CEU Cell Downlink Average Throughput: recent=4.13, baseline=8.62, change=52.04%",DL Radio Quality Issue,(HU) DL IBLER(%),DL IBLER increased.,"Check interference, CQI, MCS, antenna tilt, and DL power.","Check interference, CQI, MCS, antenna tilt, and DL power. | Check PDCCH/CCE utilization, control channel capacity, CCE aggregation level, and scheduler configuration. CCE failure >10% is critical. | Check DL interference, poor coverage, CQI, MCS, and radio conditions. | Check CEU parameters, ICIC, and edge coverage. | Check CEU scheduling, cell edge SINR, and coverage."
