Date,Exclusion_Type,eNodeB Name,Cell Name,LocalCell Id,kpi,counter,bad_value,reason,recent_days_count,baseline_days_count,expected_recent_days,expected_baseline_days
2026-04-21 00:00:00,Invalid counter value,LCAIN11651,LCAIN11651-3,3,Drop Rate,(HU) RRC Reestablish Ratio(%),110.0968,percentage above 100,,,,
2026-04-24 00:00:00,Invalid counter value,LCAIN12582,LCAIN12582-1,1,Drop Rate,(HU) RRC Reestablish Ratio(%),107.6825,percentage above 100,,,,
2026-05-01 00:00:00,Invalid counter value,LCAIN12837,LCAIN12837-3,3,Drop Rate,(HU) RRC Reestablish Ratio(%),163.0268,percentage above 100,,,,
2026-05-02 00:00:00,Invalid counter value,LCAIN10110,LCAIN10110-1,1,Drop Rate,(HU) RRC Reestablish Ratio(%),211.36,percentage above 100,,,,
2026-05-03 00:00:00,Invalid counter value,LCAIN12251,LCAIN12251-6,6,Drop Rate,(HU) RRC Reestablish Ratio(%),220.1866,percentage above 100,,,,
2026-05-04 00:00:00,Invalid counter value,LCAIN12251,LCAIN12251-6,6,Drop Rate,(HU) RRC Reestablish Ratio(%),268.0431,percentage above 100,,,,
2026-05-05 00:00:00,Invalid counter value,LCAIN12251,LCAIN12251-6,6,Drop Rate,(HU) RRC Reestablish Ratio(%),121.2784,percentage above 100,,,,
2026-04-30 00:00:00,Invalid counter value,LCAIN14374,LCAIN14374-6,6,RACH Success Rate,(HU) RACH Success Rate(%),100.2865,percentage above 100,,,,
2026-04-30 00:00:00,Invalid counter value,LCAIN14374,LCAIN14374-6,6,RACH Success Rate,RACH Setup Failed Number,-1.0,negative value for non-negative metric,,,,
2026-04-30 00:00:00,Invalid counter value,LCAIN14374,LCAIN14374-6,6,RACH Success Rate,RACH Contention-Based Failures,-1.0,negative value for non-negative metric,,,,
2026-04-19 00:00:00,Invalid counter value,LCAIN10118_CITY center,LCAIN10118-3,3,CSFB KPI,CSFB SR%,102.1053,percentage above 100,,,,
2026-04-19 00:00:00,Invalid counter value,LCAIN10106_EL-KATAMYA (BTS10),LCAIN10106-1,1,CSFB KPI,CSFB SR%,101.6878,percentage above 100,,,,
