kpi_name,target_kpi_column,kpi_category,threshold_%,degraded_cells_count,max_degradation_%,status,error
DL Traffic,(HU) DL Traffic Volume (GBytes),Traffic,30.0,32,100.0,Completed,
UL Traffic,(HU) UL Traffic Volume (GBytes),Traffic,30.0,36,100.0,Completed,
DL Throughput,(HU) User DL Average Throughput (Mbps),Integrity,20.0,31,56.53230783838959,Completed,
UL Throughput,(HU) User UL Average Throughput (Mbps),Integrity,20.0,27,77.18271579724603,Completed,
RRC Setup SR,(TE) RRC Setup SR%,Accessibility,5.0,0,1.2560282949338297,Completed,
ERAB Setup SR,ERAB Setup Success Rate,Accessibility,5.0,0,3.4217947123734938,Completed,
Drop Rate,E-RAB Drop Rate (E-NodeB + MME) %,Retainability,20.0,30,6078.738000231321,Completed,
HO Success Rate,HO SR% Overall,Mobility,5.0,0,18.77693913861364,Completed,
Availability,Availability,Availability,1.0,6,91.96441077441077,Completed,
RACH Success Rate,(HU) RACH Success Rate(%),Accessibility,5.0,12,69.02584971283665,Completed,
CSFB KPI,CSFB SR%,CSFB / Voice Accessibility,5.0,0,1.0870000000000033,Completed,
VoLTE KPIs,BA_Voice E2E VQI,VoLTE,5.0,2,12.07237124617102,Completed,
RRC Re-establishment,RRC Reestablish Setup Success Rate(%),Mobility,10.0,11,100.0,Completed,
